"","moduleLabels","moduleColors"
"ELMO2",0,"grey"
"RPS11",4,"yellow"
"PNMA1",3,"brown"
"ERCC5",0,"grey"
"ZHX3",0,"grey"
"APBB2",0,"grey"
"H2AZ2",0,"grey"
"DECR1",0,"grey"
"RPS18",4,"yellow"
"LMAN1",0,"grey"
"CHD8",2,"blue"
"SUMO1",4,"yellow"
"GP1BA",3,"brown"
"UQCR11",0,"grey"
"DDB1",9,"magenta"
"MYO9B",0,"grey"
"CRNKL1",2,"blue"
"XAB2",0,"grey"
"RTN1",3,"brown"
"DTNBP1",0,"grey"
"ZEB1",4,"yellow"
"MIER1",2,"blue"
"CHD9",3,"brown"
"ARID3C",5,"green"
"TOB2",0,"grey"
"INIP",1,"turquoise"
"BANK1",17,"grey60"
"IPO9",0,"grey"
"SORL1",2,"blue"
"NAT10",0,"grey"
"CHD1",2,"blue"
"SERPINF1",1,"turquoise"
"OR7A17",1,"turquoise"
"STK25",0,"grey"
"TAOK3",0,"grey"
"CDC25B",6,"red"
"BMP3",15,"midnightblue"
"USP6NL",0,"grey"
"TEK",0,"grey"
"SLC25A46",0,"grey"
"LARP7",1,"turquoise"
"PHF20",0,"grey"
"GTPBP1",0,"grey"
"RAB33B",1,"turquoise"
"ZNF83",1,"turquoise"
"GDPD5",5,"green"
"PDCD4",8,"pink"
"CEP350",2,"blue"
"CST7",0,"grey"
"OR10A2",1,"turquoise"
"SELL",2,"blue"
"CIAO1",1,"turquoise"
"ABR",0,"grey"
"STK17A",2,"blue"
"RIMBP3B",0,"grey"
"CD38",0,"grey"
"ZDHHC6",0,"grey"
"CTDSP2",3,"brown"
"RMND5B",1,"turquoise"
"CCNY",0,"grey"
"MAOA",0,"grey"
"GYPC",9,"magenta"
"H2BC21",3,"brown"
"RNF4",1,"turquoise"
"EMC1",1,"turquoise"
"HDAC7",0,"grey"
"GRB2",0,"grey"
"EIF1",1,"turquoise"
"FPGT",0,"grey"
"CHST15",2,"blue"
"GPN2",1,"turquoise"
"TRAPPC9",0,"grey"
"GCC2",2,"blue"
"KIAA0100",0,"grey"
"HS2ST1",2,"blue"
"CD82",1,"turquoise"
"PTP4A2",0,"grey"
"SEC14L1",2,"blue"
"METTL25",0,"grey"
"CHFR",6,"red"
"NDUFS4",0,"grey"
"COL18A1",6,"red"
"SMIM27",1,"turquoise"
"SF3B6",0,"grey"
"FUS",0,"grey"
"TF",6,"red"
"ASS1",6,"red"
"USP42",0,"grey"
"SEC23IP",0,"grey"
"UQCRC1",0,"grey"
"POLG",0,"grey"
"TFR2",6,"red"
"RICTOR",2,"blue"
"SNAPC1",1,"turquoise"
"GNA11",18,"lightgreen"
"UPF3A",0,"grey"
"CHST6",1,"turquoise"
"ZNF687",1,"turquoise"
"METTL21A",1,"turquoise"
"COX7A2",4,"yellow"
"PDP1",0,"grey"
"ASNSD1",0,"grey"
"FUT4",1,"turquoise"
"RP9",0,"grey"
"ARAP1",2,"blue"
"AGPS",0,"grey"
"UNG",1,"turquoise"
"GSTP1",4,"yellow"
"DCUN1D5",0,"grey"
"SLC9A3R1",0,"grey"
"CHMP7",0,"grey"
"WASHC3",0,"grey"
"REM2",8,"pink"
"FKBP4",0,"grey"
"ZNF350",0,"grey"
"BST1",1,"turquoise"
"UBE2W",2,"blue"
"FHL1",3,"brown"
"OSGEP",0,"grey"
"GATA1",3,"brown"
"SMC6",0,"grey"
"RPL4",4,"yellow"
"RBM6",0,"grey"
"CYSTM1",0,"grey"
"WAPL",0,"grey"
"KLF4",0,"grey"
"BTK",3,"brown"
"KRCC1",2,"blue"
"PRND",1,"turquoise"
"MOB1B",3,"brown"
"HUS1",1,"turquoise"
"DNAJC30",1,"turquoise"
"UIMC1",0,"grey"
"ZNF667",1,"turquoise"
"TFEC",0,"grey"
"ETFA",3,"brown"
"ZNF146",0,"grey"
"MIA2",0,"grey"
"KLHL6",1,"turquoise"
"ARGFX",1,"turquoise"
"CUL4B",1,"turquoise"
"AKIRIN1",1,"turquoise"
"DNAJC9",0,"grey"
"ZNF568",1,"turquoise"
"ITSN1",0,"grey"
"EHBP1L1",0,"grey"
"DCTN1",0,"grey"
"TNKS2",2,"blue"
"TMEM241",1,"turquoise"
"C1QBP",0,"grey"
"OSER1",0,"grey"
"TCP1",0,"grey"
"TMED7",2,"blue"
"PTCRA",3,"brown"
"PAWR",1,"turquoise"
"LDLR",0,"grey"
"ASTN2",1,"turquoise"
"TAB2",3,"brown"
"GPATCH8",0,"grey"
"TANC2",2,"blue"
"FAM161A",1,"turquoise"
"PGM1",6,"red"
"CPD",2,"blue"
"SNCAIP",1,"turquoise"
"HLA-DOA",0,"grey"
"PROSER3",1,"turquoise"
"DNAJB4",0,"grey"
"PECR",0,"grey"
"HSPA2",1,"turquoise"
"SERP1",4,"yellow"
"SYDE2",1,"turquoise"
"RAB5A",2,"blue"
"DCAF11",0,"grey"
"SUSD6",2,"blue"
"PLEKHM3",1,"turquoise"
"XAF1",1,"turquoise"
"ENKUR",3,"brown"
"ABCG8",1,"turquoise"
"ANKDD1A",1,"turquoise"
"DAND5",1,"turquoise"
"THOC7",0,"grey"
"TCTA",0,"grey"
"B2M",3,"brown"
"SEPHS1",0,"grey"
"GLIPR2",2,"blue"
"PLRG1",0,"grey"
"SPG7",1,"turquoise"
"PARD6G",1,"turquoise"
"GRPEL2",0,"grey"
"INPP5B",1,"turquoise"
"PPID",1,"turquoise"
"TRIM56",1,"turquoise"
"UBE2J1",2,"blue"
"SAFB2",0,"grey"
"KLRG1",0,"grey"
"E2F4",0,"grey"
"GYPA",9,"magenta"
"KIAA0232",2,"blue"
"ERCC8",1,"turquoise"
"GPX4",0,"grey"
"MSS51",1,"turquoise"
"GPR157",1,"turquoise"
"FAM199X",0,"grey"
"ALG9",1,"turquoise"
"BTBD10",0,"grey"
"RABGGTB",0,"grey"
"ANKRD40",1,"turquoise"
"CALCOCO2",1,"turquoise"
"SNCA",9,"magenta"
