"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"period",0.0294712553265715,0.0739165152110555,-0.00635382475749503,0.0717326948645103,0.113780392356324,0.101151526194062,-0.00399050677929828,0.232567925457113,-0.016433375046127,-0.0541644342906237,0.0354697061339011,-0.0224710798072326,0.0116942608218398,0.0528665506214112,0.0229986778970111,-0.10205475656621,0.290293106730162,0.0585269084460785,-0.00616333338507821,0.00577693040792327
"batch_rna",0.0063879677404883,0.00680471575883193,0.00120405816128709,0.0298406722563341,0.0150274986388058,0.0146926562951306,0.00955431340332784,0.0249354913477395,0.0128423321976995,0.0344840944246775,0.00575136400015203,-0.00307451279990128,0.0180117223307736,-0.026815501599195,-0.00844609393203066,-0.0326620452536724,0.00115082067543139,0.0133302578778073,-0.00603476392627456,-0.0110440477355159
"seqff",0.0335684113438578,0.0733171292606882,0.0103560387574186,0.0481861307899883,-0.0850363255711898,0.050450281376948,0.020061676045329,0.148121026321691,-0.0261120729100745,-0.0391125722096193,0.0753205912976004,0.0209505438301916,0.00828543351424447,0.0122591143995512,0.030597483309783,-0.0934828593108807,0.409889209839437,0.00344090345858951,0.0101094888932203,-0.0414156184794391
"disease",0.0214763690396469,0.0064933911665458,-0.0128877924635148,0.0393435649916862,0.0679057895744192,0.00361838978583801,0.0249336901267533,0.0213437783879142,0.0152329431291341,0.0306505058478393,-0.010768195255698,-0.0750176448645616,-0.022892591773895,0.0277753147763247,0.00972910086123681,0.0383201746372767,-0.0210289291837497,0.069342133390245,-0.0194400378026154,0.0569224032553742
"Beta_cell..PI_WGS",-0.0153805616461597,-0.0378958983055055,-0.0135332050854561,-0.0320931699026765,0.0381103134895493,-0.0115891407434115,-0.0210350800397397,-0.00578450049897136,-0.0124558239317542,0.00591995315296618,-0.00676437434402156,0.00135876372224868,0.0073837860249788,-0.0187124206936414,-0.025432627421484,0.0119624574372872,-0.0258721391440357,0.0329931314546127,0.0178981092095344,0.00593534087393355
"Beta_cell._PI_WGS",-0.00152467053190282,0.0408660840627734,0.00200831254769157,0.0154208267440728,0.042810770240886,-0.0131728278158182,0.0448247060319819,-0.0399431691697084,0.0391665761089951,0.0236609096830961,0.018600783253867,-0.0240780231658954,-0.0462877884801952,-0.00390582412915589,-0.00823549815382853,-0.00389895022886044,0.00595076510030692,-0.00398074112954758,0.0212041062464834,0.0194085830470013
"Body_fat_WGS",0.017197968999201,-4.68714497061467e-05,0.00225813763371436,0.0516033070582818,-0.0551635232381976,-0.00272850635544856,0.0204781836570274,-0.0190724775587293,0.000854250843810328,-0.0103211699236534,-0.0182408876074109,0.0212394238678272,0.00961975999907997,0.0349318971524049,-0.0115940320464258,0.0189169754711305,-0.0356805408542825,-0.0281885271373408,-0.0446726901017502,-0.00798888090901228
"Lipodystrophy_WGS",0.0124243368496969,0.00830382182314579,-0.0124690594964501,-0.0210156057508908,0.0825584601712698,0.0475983165747445,0.031092379054816,-0.0125512229558745,-0.0034707333947647,0.0460479952776953,0.00906545146114085,0.00871892004509111,0.0134233038289692,-0.00877983139173622,-0.0313117382074837,-0.0185094057892851,0.0832565510256516,-0.0164525136424421,-0.0126006914010063,-0.0060817440777136
"Liver_lipid_metabolism_WGS",-0.0509129021926545,-0.0301185807639918,-0.00204862160075207,0.0804003175709859,-0.0394649446388376,-0.0912507549537417,-0.0324074159403207,-0.0652573167363172,-0.0561435558109083,-0.0265303790169843,-0.0742527384161146,0.0071172383311993,-0.0240520390482445,0.0180151538079108,0.0937486102282471,0.0503001207177814,-0.0156822830557383,-0.0586301663306961,-0.00246379474597847,-0.00409341550409902
"Metabolic_syndrome_WGS",-0.0637691155098881,-0.00644758450687379,-0.0474503875528776,0.0150313194386677,0.0332675227488075,0.0319041102612577,0.0494932174180729,0.0334300460332288,0.0404465604310351,0.068984410781247,0.0205589665671078,-0.0170786083494059,-0.0538969423419905,0.0158079433979005,-0.0341380818121433,-0.0355069023548911,0.0240439657012512,-0.0169775327381769,-0.0556235364067503,-0.0026684059528599
"Obesity_WGS",-0.0264296475448228,-0.0280653745617839,0.0067209419531908,-0.0630706641068352,-0.0180701234491446,0.0377710577641447,-0.0142983038882187,0.0484578461734176,-0.0692895575200271,-0.0284859646946785,0.00208420027794342,-0.0143538717321137,-0.00490719972893552,-0.0457941428362588,-0.0264877871960201,-0.00807417488401497,0.0271861072267105,0.0223375072769766,0.0155373383917571,-0.0367052698875097
"Residual_glycaemic_WGS",-0.0233591251359067,-0.0448901866070125,-0.0437021511606562,0.0361714250817944,0.0182384666825214,0.00414079930229884,-0.0370651097686645,0.0255530406330816,0.0602231787250882,0.00834275475494151,0.00330547389147803,-0.0326064070692111,0.00638630228996268,0.00859557586293079,0.00290659130471358,0.0237666917355815,-0.0400776373155704,0.0579970416517265,0.0268543909030564,0.0603363839069349
"PRS_WGS",0.0163778167845149,-0.00592439103331859,0.0322442748653942,0.0349204547587506,0.0722538480123273,0.0778910408596843,0.0380714850668442,0.0233482655158237,0.0425097012762568,0.0410514914252617,0.0438163962140262,-0.0426717316740104,-0.00303495211404478,-0.0316879902477771,-0.0705933649914968,-0.0607221091286466,0.011247277912519,0.0291093307266909,0.0248819940009574,0.0192758379881406
