"","MEcyan","MElightyellow","MEturquoise","MEsalmon","MEred","MEblack","MEmidnightblue","MEmagenta","MEblue","MEgreenyellow","MElightcyan","MEgreen","MEpink","MElightgreen","MEpurple","MEyellow","MEtan","MEbrown","MEgrey60","MEgrey"
"period",0.277619426671744,0.00640824417075179,0.814970893143584,0.00816008324745783,2.61925431279749e-05,0.000187667294942963,0.883152760970519,3.78768783358666e-18,0.544984002743166,0.0458926478761498,0.191285700103748,0.407823426258501,0.666670170757089,0.0513582215445869,0.396900740433444,0.000164171751809819,8.4822053952995e-28,0.0309716935518541,0.820422180893805,0.831506257574341
"batch_rna",0.813994760844251,0.802103810071271,0.964628353980574,0.271638323360969,0.579918019611232,0.588390446325888,0.724913233605247,0.358339214571024,0.63620495682527,0.203924023811516,0.832240844935209,0.909842891870684,0.507050031832437,0.32324512881421,0.755739001047177,0.228865330227237,0.966191355957489,0.623437427558127,0.824106372011363,0.684175190372907
"seqff",0.216199799334416,0.00685184378958513,0.70288395715875,0.0757724447976742,0.00170318844198885,0.0629842068694826,0.459931385915026,4.11868393340197e-08,0.336104963307962,0.149557947370559,0.00546850888417372,0.440287518289763,0.760241620842384,0.651608566921823,0.259661953144849,0.000559347753989908,3.32480668429238e-56,0.899153118562193,0.709633008235889,0.127004695115928
"disease",0.428896822911089,0.810982579938426,0.635010751034849,0.147166720221253,0.0122829970593299,0.893981239000484,0.358373946150659,0.431752816758022,0.57474815905061,0.258836790875125,0.691653887440497,0.00566005554174639,0.399082729516392,0.306222018972652,0.720090363842342,0.157986113278022,0.438578582850324,0.0105580068265887,0.473955680420227,0.035888099277236
"Beta_cell..PI_WGS",0.571046944973347,0.162644103076941,0.618159733150897,0.237079426961887,0.160277336944191,0.669488264012959,0.438444644942742,0.831288777949737,0.646396145578138,0.827399582360738,0.803252908211246,0.960087137795269,0.785657637052609,0.490664821278016,0.348834242971888,0.659501599869355,0.340565553027524,0.224178930461132,0.509733571179144,0.826958026582055
"Beta_cell._PI_WGS",0.955218562028772,0.132130005022383,0.941036149007139,0.570039355822931,0.114686583969097,0.627544799804294,0.0985844419616731,0.141095962411323,0.148996266178664,0.383443134083378,0.493256182774228,0.375111792907233,0.0880591621874201,0.88561515572634,0.761642756690491,0.885815083155404,0.826515478106136,0.883436668628012,0.434773217723964,0.47467149331963
"Body_fat_WGS",0.526433296037097,0.9986226061295,0.933717253632107,0.0571903965702242,0.0420263451590073,0.919952961843485,0.450666202171594,0.482357114958617,0.974900571991909,0.70383705157078,0.50165979764212,0.434008327461967,0.723106091797222,0.198108644703355,0.669357032812041,0.485935664511125,0.188658597917152,0.299079502846697,0.0997332848441471,0.768573958571791
"Lipodystrophy_WGS",0.647229336270744,0.759725861055015,0.646046046784639,0.438868787673607,0.00231995583682625,0.0794179472830825,0.252030722403973,0.643874465013291,0.898283581078663,0.0897193869984449,0.73845974510504,0.748111885529268,0.621015323653335,0.746412377904922,0.24869869061021,0.495382700836374,0.00212821558173861,0.544515732040123,0.642568474755249,0.822759690142255
"Liver_lipid_metabolism_WGS",0.060603871540458,0.26719731277228,0.939854898933633,0.00301698378851382,0.145921962995598,0.000757548665078456,0.232516603372794,0.0161266219696291,0.0385049521984293,0.328418517714622,0.00617087072660542,0.793216474274756,0.375627507964341,0.506969095929778,0.000539273731444034,0.0637732324533968,0.563517390254603,0.0306761044952432,0.927696476323344,0.880161909560588
"Metabolic_syndrome_WGS",0.0187203183463161,0.812291037113722,0.0803574658996701,0.579821673510516,0.220347273981696,0.239854818565009,0.0681539677886725,0.218100013533836,0.136149378785312,0.0109661839198651,0.448881494549786,0.529307882709379,0.0469771898317308,0.56039565801397,0.208501770902146,0.190820274229982,0.375787831272915,0.531748327603248,0.0403409302212923,0.921710418988269
"Obesity_WGS",0.330258985224601,0.30119652298566,0.80449052573993,0.0200585089640858,0.505673489548362,0.164034200421046,0.598441254887085,0.0741340336848706,0.0106171391761322,0.294007483632525,0.938812381463397,0.597020302514367,0.856574278557292,0.0915042862548996,0.329195901790744,0.766174640483677,0.316600450356125,0.410616858865421,0.567128561826471,0.176267757296113
"Residual_glycaemic_WGS",0.389540915892963,0.0980928437536788,0.10732147645842,0.182645106444586,0.501716581821469,0.878785358562683,0.172063606680559,0.346556296909509,0.0264135585512574,0.75863421305723,0.903102372730626,0.229659655474642,0.814042368634533,0.751557091666575,0.914747723635045,0.38131962440251,0.139761297120171,0.0325272150152004,0.32254363907021,0.026131119645117
"PRS_WGS",0.546344496608318,0.827272230306606,0.234877567741348,0.198255716501901,0.00770701527725002,0.00406404931616952,0.160703995064344,0.389761435278266,0.117262046620473,0.130383181072803,0.106405201673639,0.115870395350749,0.910998120969649,0.243055386984443,0.00923443478030769,0.0251882545545334,0.67868504884494,0.283565499294866,0.35937166470205,0.477698882039021
"Age_mo_Anthropometric",0.52785672400184,0.0318931710499643,0.176825195398934,0.496014625012757,0.311098760019706,0.512062196907123,0.816642966266815,0.0404420365263811,0.664265390069602,0.24513066370116,0.810802209781883,0.116767433921078,0.760242959083681,0.168000538120023,0.613419436911549,0.00137118462316703,0.542652955411094,0.467983563517759,0.701126501566911,0.0768177087088562
